,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
7147,NCT04709952,2021/1/28,NA,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7148,NCT04710992,2022/10/3,NA,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7149,NCT04711109,2023/2/14,PHASE3,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7150,NCT04711577,2021/1/8,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7151,NCT04711824,2022/3/9,PHASE1/PHASE2,2022,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7152,NCT04711915,2021/3/17,PHASE1,2021,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7153,NCT04711993,2021/2/17,NA,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7154,NCT04713384,2015/9/30,NA,2015,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7155,NCT04713917,2021/2/21,NA,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7156,NCT04714255,2019/11/3,NA,2019,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7157,NCT04714320,2021/3/4,PHASE2,2021,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
7158,NCT04714398,2021/2/26,NA,2021,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
